Path,Filename,StartSecond,EndSecond,MainClassification,ConfidenceScore,ConfidenceVector
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_16-39-28_48kHz.wav,channelA_2024-05-28_16-39-28_48kHz.wav,45,48,Whistle,0.74959034,"[0.25040963292121887, 0.7495903372764587]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-45-01_48kHz.wav,channelA_2024-05-28_17-45-01_48kHz.wav,75,78,Whistle,0.62672895,"[0.37327107787132263, 0.6267289519309998]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-45-01_48kHz.wav,channelA_2024-05-28_17-45-01_48kHz.wav,126,129,Whistle,0.5712303,"[0.4287697374820709, 0.5712302923202515]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,243,246,Whistle,0.530373,"[0.4696269631385803, 0.5303729772567749]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,261,264,Whistle,0.748642,"[0.25135794281959534, 0.7486420273780823]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,270,273,Whistle,0.63740826,"[0.36259177327156067, 0.6374082565307617]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_17-56-52_48kHz.wav,channelA_2024-05-28_17-56-52_48kHz.wav,276,279,Whistle,0.7069852,"[0.2930148243904114, 0.7069851756095886]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_08-30-51_48kHz.wav,channelA_2024-05-29_08-30-51_48kHz.wav,201,204,Whistle,0.6053132,"[0.3946867883205414, 0.6053131818771362]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,237,240,Whistle,0.78518814,"[0.2148118019104004, 0.7851881384849548]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,246,249,Whistle,0.73570895,"[0.26429104804992676, 0.7357089519500732]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,249,252,Whistle,0.7272338,"[0.27276620268821716, 0.7272338271141052]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,252,255,Whistle,0.99884725,"[0.0011526922462508082, 0.998847246170044]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,258,261,Whistle,0.97259045,"[0.027409609407186508, 0.972590446472168]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_17-58-57_48kHz.wav,channelA_2024-05-29_17-58-57_48kHz.wav,297,300,Whistle,0.7231159,"[0.2768840789794922, 0.7231159210205078]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-29_18-03-57_48kHz.wav,channelA_2024-05-29_18-03-57_48kHz.wav,3,6,Whistle,0.8257038,"[0.17429621517658234, 0.8257037997245789]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_09-21-37_48kHz.wav,channelA_2024-05-30_09-21-37_48kHz.wav,189,192,Whistle,0.7579976,"[0.2420024871826172, 0.7579975724220276]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_10-27-10_48kHz.wav,channelA_2024-05-30_10-27-10_48kHz.wav,132,135,Whistle,0.7364639,"[0.26353609561920166, 0.7364639043807983]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_12-04-34_48kHz.wav,channelA_2024-05-30_12-04-34_48kHz.wav,213,216,Whistle,0.5293897,"[0.47061029076576233, 0.5293896794319153]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-30_14-37-30_48kHz.wav,channelA_2024-05-30_14-37-30_48kHz.wav,258,261,Whistle,0.84969664,"[0.15030337870121002, 0.8496966361999512]"
